Week   ,Date  ,Topic                                                         ,Reading                                                                                      ,Notes & Links
1      ,9/1   ,"Introduction, Syllabus, Foundations, and Socket Programming" ,[Ch. 1 - Sections 1.1 - 1.4](https://book.systemsapproach.org/foundation/problem.html)       ,"[A Brief History of the Internet](http://www.internetsociety.org/internet/what-internet/history-internet/brief-history-internet), [There and Back Again: A Packet's Tale (video)](https://www.youtube.com/watch?v=ewrBalT_eBM), [Beej's Guide to Network Programming (C)](http://beej.us/guide/bgnet/), [The Java Tutorial: All About Sockets](https://docs.oracle.com/javase/tutorial/networking/sockets/), [Python Network Programming](http://www.tutorialspoint.com/python/python_networking.htm)"
2      ,9/8  ,Network Performance                                           ,[Ch. 1 - Sections 1.5 and 1.6](https://book.systemsapproach.org/foundation/performance.html) ,
3      ,9/15  ,"Local Links and Encoding, More Socket Programming"           ,[Ch. 2 - Sections 2.1 - 2.5](https://book.systemsapproach.org/direct/problem.html)           ,
4      ,9/22  ,Ethernet and WiFi                                             ,[Ch. 2 - Sections 2.6 - 2.9](https://book.systemsapproach.org/direct/ethernet.html)          ,[Project #1 Due](/project-1.html)
5      ,9/29  ,Switching and Bridging                                        ,[Ch. 3 - Section 3.1](https://book.systemsapproach.org/internetworking/switching.html)       ,Exam #1 (Brightspace)
6      ,10/6  ,Basic Internetworking (IP)                                    ,[Ch 3. - Section 3.2](https://book.systemsapproach.org/internetworking/basic-ip.html)        ,[Bootstrapping with BOOTP and DHCP](https://www.cisco.com/c/en/us/about/press/internet-protocol-journal/back-issues/table-contents-22/dhcp.html)
7      ,10/13 , Fall Break (no class)                                                      ,                                                                                             ,
8      ,10/20 ,"Routing, Internet of Things (IoT) for Project #3 & #4"       ,[Ch. 3 - Section 3.3 - 3.5](https://book.systemsapproach.org/internetworking/routing.html)   ,[Project #2 Due](/project-2.html)
9      ,10/27 ,"Simple Demultiplexer (UDP), Reliable Byte Stream (TCP)"      ,[Ch. 5 - Section 5.1 - 5.2](https://book.systemsapproach.org/e2e/problem.html)               ,
10     ,11/3  ,"Remote Procedure Call (RPC), Real Time Protocol (RTP)"       ,[Ch. 5 - Section 5.3 - 5.5](https://book.systemsapproach.org/e2e/rpc.html)                   ,"Exam #2 (Brightspace), [YouTube network traffic at a campus network](http://gaia.cs.umass.edu/networks/papers/MMCN08-0.2.pdf)"
11     ,11/10 ,Presentation Formatting and Multimedia Data                   ,[Ch. 7 - Sections 7.1 - 7.3](https://book.systemsapproach.org/data/problem.html)             ,
12     ,11/17 ,Network Security                                              ,[Ch. 8 - Sections 8.1 - 8.6](https://book.systemsapproach.org/security/problem.html)         ,[Project #3 Due](/project-3.html)
13     ,11/24 ,Thanksgiving Break (no class)                                           ,                                                                                             ,
14     ,12/1  ,Internet of Things (IoT)                                      ,                                                                                             ,
15     ,12/8 ,"Traditional Applications, Overlay Networks, More IoT"        ,"[Ch. 9 - Sections 9.1, 9.3](https://book.systemsapproach.org/applications/problem.html)"    ,
Finals ,12/15 ,                                                              ,                                                                                             ,"Final Exam (Brightspace), [Project #4 Due](/project-4.html)"
